Plan_mes,mes,nro_cliente,cambio_de_plan
95729,1,1,0
95729,2,1,0
96810,3,1,1
96400,1,2,0
96400,2,2,0
96400,3,2,0
96410,1,3,0
96410,2,3,0
96410,3,3,0
95420,1,4,0
96413,2,4,1
96413,3,4,0
95729,1,5,0
96810,2,5,1
96810,3,5,0
96409,1,6,0
96409,2,6,0
96810,3,6,1
95982,1,7,0
95982,2,7,0
95982,3,7,0
94497,1,8,0
97120,2,8,1
97120,3,8,0
96262,1,9,0
96262,2,9,0
96262,3,9,0
93720,1,10,0
93720,2,10,0
93720,3,10,0
94465,1,11,0
96413,2,11,1
96413,3,11,0
96308,1,12,0
96308,2,12,0
97002,3,12,1
96385,1,13,0
96385,2,13,0
96385,3,13,0
95744,1,14,0
95744,2,14,0
96890,3,14,1
96385,1,15,0
96385,2,15,0
96385,3,15,0
93618,1,16,0
93618,2,16,0
93618,3,16,0
95982,1,17,0
95982,2,17,0
95982,3,17,0
96262,1,18,0
96865,2,18,1
96865,3,18,0
96234,1,19,0
96234,2,19,0
96234,3,19,0
96133,1,20,0
96133,2,20,0
96133,3,20,0
96133,1,21,0
96133,2,21,0
96133,3,21,0
95982,1,22,0
95982,2,22,0
95982,3,22,0
95419,1,23,0
95419,2,23,0
95419,3,23,0
96054,1,24,0
96054,2,24,0
96054,3,24,0
95712,1,25,0
95712,2,25,0
95712,3,25,0
96018,1,26,0
97034,2,26,1
97034,3,26,0
95599,1,27,0
95599,2,27,0
95599,3,27,0
94410,1,28,0
94410,2,28,0
94410,3,28,0
96038,1,29,0
96038,2,29,0
96038,3,29,0
94516,1,30,0
94516,2,30,0
96844,3,30,1
96262,1,31,0
96262,2,31,0
96262,3,31,0
96385,1,32,0
96890,2,32,1
96890,3,32,0
94569,1,33,0
94569,2,33,0
94569,3,33,0
93720,1,34,0
93720,2,34,0
93720,3,34,0
95729,1,35,0
96810,2,35,1
96810,3,35,0
96018,1,36,0
96018,2,36,0
96018,3,36,0
96409,1,37,0
96409,2,37,0
96409,3,37,0
94366,1,38,0
96737,2,38,1
96737,3,38,0
94485,1,39,0
96970,2,39,1
96970,3,39,0
94366,1,40,0
96413,2,40,1
96413,3,40,0
94515,1,41,0
94515,2,41,0
94515,3,41,0
96262,1,42,0
96262,2,42,0
96865,3,42,1
96400,1,43,0
96400,2,43,0
96400,3,43,0
95599,1,44,0
95599,2,44,0
95599,3,44,0
96308,1,45,0
96308,2,45,0
96308,3,45,0
95419,1,46,0
95419,2,46,0
95419,3,46,0
96409,1,47,0
96810,2,47,1
96810,3,47,0
96121,1,48,0
96121,2,48,0
96121,3,48,0
96409,1,49,0
96409,2,49,0
96409,3,49,0
96327,1,50,0
96327,2,50,0
96327,3,50,0
94463,1,51,0
96038,2,51,1
96878,3,51,1
96078,1,52,0
96078,2,52,0
96078,3,52,0
96121,1,53,0
96741,2,53,1
96741,3,53,0
95456,1,54,0
95456,2,54,0
95456,3,54,0
93537,1,55,0
93537,2,55,0
93537,3,55,0
93631,1,56,0
93631,2,56,0
93631,3,56,0
96293,1,57,0
95982,2,57,1
95982,3,57,0
95570,1,58,0
95570,2,58,0
95570,3,58,0
95645,1,59,0
95645,2,59,0
95645,3,59,0
96124,1,60,0
96124,2,60,0
96124,3,60,0
95400,1,61,0
95400,2,61,0
95400,3,61,0
96413,1,62,0
96413,2,62,0
96413,3,62,0
95559,1,63,0
96022,2,63,1
96022,3,63,0
96440,1,64,0
96440,2,64,0
96440,3,64,0
93618,1,65,0
97120,2,65,1
97120,3,65,0
96208,1,66,0
96793,2,66,1
96793,3,66,0
96133,1,67,0
96874,2,67,1
96874,3,67,0
95729,1,68,0
95729,2,68,0
95729,3,68,0
96133,1,69,0
96874,2,69,1
96874,3,69,0
95456,1,70,0
95456,2,70,0
96890,3,70,1
95419,1,71,0
96007,2,71,1
96007,3,71,0
95599,1,72,0
